year,trooptotal
1950,119576
1951,247305
1952,247305
1953,375020
1954,389526
1955,401214
1956,382638
1957,430643
1958,357582
1959,344209
1960,335694
1961,346806
1962,386862
1963,355859
1964,339101
1965,338089
1966,318300
1967,303890
1968,269415
1969,264194
1970,254308
1971,272950
1972,269070
1973,276498
1974,262283
1975,271188
1976,267915
1977,276315
1978,290235
1979,295192
1980,304002
1981,307070
1982,317757
1983,319097
1984,321286
1985,316272
1986,319601
1987,318440
1988,318000
1989,315225
1990,286888
1991,258662
1992,182670
1993,145150
1994,124881
1995,107158
1996,108081
1997,106879
1998,109500
1999,110214
2000,111589
2001,111170
2002,105928
2003,110732
2004,110601
2005,97826
2006,115679
2007,102078
2008,64258
2009,70175
2010,65897
2011,67180
2012,65506
2013,61332
2014,64168
2015,62104
2016,61672
2017,62245
2018,63895
2019,64344
2020,62338
2021,63853
